  0000	    1  (x1)	uni0009
  0002	 1070  (x42E)	uni0002
  000D	    2  (x2)	nonmarkingreturn
  0020	    3  (x3)	space
  0021	 1071  (x42F)	exclam
  0022	    4  (x4)	quotedbl
  0023	    5  (x5)	numbersign
  0024	    6  (x6)	dollar
  0025	    7  (x7)	percent
  0026	    8  (x8)	ampersand
  0027	    9  (x9)	quotesingle
  0028	   10  (xA)	parenleft
  0029	   11  (xB)	parenright
  002A	   12  (xC)	asterisk
  002B	   13  (xD)	plus
  002C	   14  (xE)	comma
  002D	   15  (xF)	hyphen
  002E	   16  (x10)	period
  002F	   17  (x11)	slash
  0030	   18  (x12)	zero
  0031	   19  (x13)	one
  0032	   20  (x14)	two
  0033	   21  (x15)	three
  0034	   22  (x16)	four
  0035	   23  (x17)	five
  0036	   24  (x18)	six
  0037	   25  (x19)	seven
  0038	   26  (x1A)	eight
  0039	   27  (x1B)	nine
  003A	   28  (x1C)	colon
  003B	   29  (x1D)	semicolon
  003C	   30  (x1E)	less
  003D	   31  (x1F)	equal
  003E	   32  (x20)	greater
  003F	   33  (x21)	question
  0040	   34  (x22)	at
  0041	   35  (x23)	A
  0042	   36  (x24)	B
  0043	   37  (x25)	C
  0044	   38  (x26)	D
  0045	   39  (x27)	E
  0046	   40  (x28)	F
  0047	   41  (x29)	G
  0048	   42  (x2A)	H
  0049	   43  (x2B)	I
  004A	   44  (x2C)	J
  004B	   45  (x2D)	K
  004C	   46  (x2E)	L
  004D	   47  (x2F)	M
  004E	   48  (x30)	N
  004F	   49  (x31)	O
  0050	   50  (x32)	P
  0051	   51  (x33)	Q
  0052	   52  (x34)	R
  0053	   53  (x35)	S
  0054	   54  (x36)	T
  0055	   55  (x37)	U
  0056	   56  (x38)	V
  0057	   57  (x39)	W
  0058	   58  (x3A)	X
  0059	   59  (x3B)	Y
  005A	   60  (x3C)	Z
  005B	   61  (x3D)	bracketleft
  005C	   62  (x3E)	backslash
  005D	   63  (x3F)	bracketright
  005E	   64  (x40)	asciicircum
  005F	   65  (x41)	underscore
  0060	   66  (x42)	grave
  0061	   67  (x43)	a
  0062	   68  (x44)	b
  0063	   69  (x45)	c
  0064	   70  (x46)	d
  0065	   71  (x47)	e
  0066	   72  (x48)	f
  0067	   73  (x49)	g
  0068	   74  (x4A)	h
  0069	   75  (x4B)	i
  006A	   76  (x4C)	j
  006B	   77  (x4D)	k
  006C	   78  (x4E)	l
  006D	   79  (x4F)	m
  006E	   80  (x50)	n
  006F	   81  (x51)	o
  0070	   82  (x52)	p
  0071	   83  (x53)	q
  0072	   84  (x54)	r
  0073	   85  (x55)	s
  0074	   86  (x56)	t
  0075	   87  (x57)	u
  0076	   88  (x58)	v
  0077	   89  (x59)	w
  0078	   90  (x5A)	x
  0079	   91  (x5B)	y
  007A	   92  (x5C)	z
  007B	   93  (x5D)	braceleft
  007C	   94  (x5E)	bar
  007D	   95  (x5F)	braceright
  007E	   96  (x60)	asciitilde
  00A0	  510  (x1FE)	nonbreakingspace
  00A1	   97  (x61)	exclamdown
  00A2	   98  (x62)	cent
  00A3	   99  (x63)	sterling
  00A4	  100  (x64)	currency
  00A5	  101  (x65)	yen
  00A6	  102  (x66)	brokenbar
  00A7	  103  (x67)	section
  00A8	  104  (x68)	dieresis
  00A9	  105  (x69)	copyright
  00AB	  107  (x6B)	guillemotleft
  00AC	  108  (x6C)	logicalnot
  00AD	  511  (x1FF)	uni00AD
  00AE	  109  (x6D)	registered
  00AF	  110  (x6E)	macron
  00B0	  111  (x6F)	degree
  00B1	  112  (x70)	plusminus
  00B2	  113  (x71)	twosuperior
  00B3	  114  (x72)	threesuperior
  00B4	  115  (x73)	acute
  00B5	  116  (x74)	mu
  00B6	  117  (x75)	paragraph
  00B7	  118  (x76)	periodcentered
  00B8	  119  (x77)	cedilla
  00B9	  120  (x78)	onesuperior
  00BA	  121  (x79)	ordmasculine
  00BB	  122  (x7A)	guillemotright
  00BC	  123  (x7B)	onequarter
  00BD	  124  (x7C)	onehalf
  00BE	  125  (x7D)	threequarters
  00BF	  126  (x7E)	questiondown
  00C0	  517  (x205)	Agrave
  00C1	  518  (x206)	Aacute
  00C2	  519  (x207)	Acircumflex
  00C3	  520  (x208)	Atilde
  00C4	  521  (x209)	Adieresis
  00C5	  522  (x20A)	Aring
  00C6	  127  (x7F)	AE
  00C7	  524  (x20C)	Ccedilla
  00C8	  525  (x20D)	Egrave
  00C9	  526  (x20E)	Eacute
  00CA	  527  (x20F)	Ecircumflex
  00CB	  528  (x210)	Edieresis
  00CC	  529  (x211)	Igrave
  00CD	  530  (x212)	Iacute
  00CE	  531  (x213)	Icircumflex
  00CF	  532  (x214)	Idieresis
  00D0	  513  (x201)	Eth
  00D1	  533  (x215)	Ntilde
  00D2	  534  (x216)	Ograve
  00D3	  535  (x217)	Oacute
  00D4	  536  (x218)	Ocircumflex
  00D5	  537  (x219)	Otilde
  00D6	  538  (x21A)	Odieresis
  00D7	  128  (x80)	multiply
  00D8	  129  (x81)	Oslash
  00D9	  539  (x21B)	Ugrave
  00DA	  540  (x21C)	Uacute
  00DB	  541  (x21D)	Ucircumflex
  00DC	  542  (x21E)	Udieresis
  00DD	  543  (x21F)	Yacute
  00DE	  130  (x82)	Thorn
  00DF	  131  (x83)	germandbls
  00E0	  544  (x220)	agrave
  00E1	  545  (x221)	aacute
  00E2	  546  (x222)	acircumflex
  00E3	  547  (x223)	atilde
  00E4	  548  (x224)	adieresis
  00E5	  549  (x225)	aring
  00E6	  132  (x84)	ae
  00E7	  551  (x227)	ccedilla
  00E8	  552  (x228)	egrave
  00E9	  553  (x229)	eacute
  00EA	  554  (x22A)	ecircumflex
  00EB	  555  (x22B)	edieresis
  00EC	  556  (x22C)	igrave
  00ED	  557  (x22D)	iacute
  00EE	  558  (x22E)	icircumflex
  00EF	  559  (x22F)	idieresis
  00F0	  133  (x85)	eth
  00F1	  560  (x230)	ntilde
  00F2	  561  (x231)	ograve
  00F3	  562  (x232)	oacute
  00F4	  563  (x233)	ocircumflex
  00F5	  564  (x234)	otilde
  00F6	  565  (x235)	odieresis
  00F7	  134  (x86)	divide
  00F8	  135  (x87)	oslash
  00F9	  566  (x236)	ugrave
  00FA	  567  (x237)	uacute
  00FB	  568  (x238)	ucircumflex
  00FC	  569  (x239)	udieresis
  00FD	  570  (x23A)	yacute
  00FE	  136  (x88)	thorn
  00FF	  571  (x23B)	ydieresis
  00AA	  106  (x6A)	ordfeminine
  0100	  572  (x23C)	Amacron
  0101	  573  (x23D)	amacron
  0102	  574  (x23E)	Abreve
  0103	  575  (x23F)	abreve
  0104	  576  (x240)	Aogonek
  0105	  577  (x241)	aogonek
  0106	  578  (x242)	Cacute
  0107	  579  (x243)	cacute
  0108	  580  (x244)	Ccircumflex
  0109	  581  (x245)	ccircumflex
  010A	  582  (x246)	uni010A
  010B	  583  (x247)	uni010B
  010C	  584  (x248)	Ccar
  010D	  585  (x249)	ccaron
  010E	  586  (x24A)	Dcaron
  010F	  587  (x24B)	dcaron
  0110	  512  (x200)	Dcroat
  0111	 1028  (x404)	dcroat
  0112	  588  (x24C)	Emacron
  0113	  589  (x24D)	emacron
  0114	  590  (x24E)	Ebreve
  0115	  591  (x24F)	ebreve
  0116	  592  (x250)	Edotaccent
  0117	  593  (x251)	edotaccent
  0118	  594  (x252)	Eogonek
  0119	  595  (x253)	eogonek
  011A	  596  (x254)	Ecaron
  011B	  597  (x255)	ecaron
  011C	  598  (x256)	Gcircumflex
  011D	  599  (x257)	gcircumflex
  011E	  600  (x258)	Gbreve
  011F	  601  (x259)	gbreve
  0120	  602  (x25A)	uni0120
  0121	  603  (x25B)	uni0121
  0122	  604  (x25C)	Gcommaaccent
  0123	  605  (x25D)	gcommaaccent
  0124	  606  (x25E)	Hcircumflex
  0125	  607  (x25F)	hcircumflex
  0126	  137  (x89)	Hbar
  0127	  514  (x202)	hbar
  0128	  608  (x260)	Itilde
  0129	  609  (x261)	itilde
  012A	  610  (x262)	Imacron
  012B	  611  (x263)	imacron
  012C	  612  (x264)	Ibreve
  012D	  613  (x265)	ibreve
  012E	  614  (x266)	Iogonek
  012F	  615  (x267)	iogonek
  0130	  616  (x268)	Idotaccent
  0131	  138  (x8A)	dotlessi
  0132	  617  (x269)	IJ
  0133	  618  (x26A)	ij
  0134	  619  (x26B)	Jcircumflex
  0135	  620  (x26C)	jcircumflex
  0136	  621  (x26D)	Kcommaaccent
  0137	  622  (x26E)	kcommaaccent
  0138	  139  (x8B)	kgreenlandic
  0139	  623  (x26F)	Lacute
  013A	  624  (x270)	lacute
  013B	  625  (x271)	Lcommaaccent
  013C	  626  (x272)	lcommaaccent
  013D	  627  (x273)	Lcaron
  013E	  628  (x274)	lcaron
  013F	  629  (x275)	Ldot
  0140	  630  (x276)	ldot
  0141	  140  (x8C)	Lslash
  0142	  141  (x8D)	lslash
  0143	  631  (x277)	Nacute
  0144	  632  (x278)	nacute
  0145	  633  (x279)	Ncommaaccent
  0146	  634  (x27A)	ncommaaccent
  0147	  635  (x27B)	Ncaron
  0148	  636  (x27C)	ncaron
  0149	  637  (x27D)	napostrophe
  014A	  142  (x8E)	Eng
  014B	  143  (x8F)	eng
  014C	  638  (x27E)	Omacron
  014D	  639  (x27F)	omacron
  014E	  640  (x280)	Obreve
  014F	  641  (x281)	obreve
  0150	  642  (x282)	Ohungarumlaut
  0151	  643  (x283)	ohungarumlaut
  0152	  144  (x90)	OE
  0153	  145  (x91)	oe
  0154	  644  (x284)	Racute
  0155	  645  (x285)	racute
  0156	  646  (x286)	Rcommaaccent
  0157	  647  (x287)	rcommaaccent
  0158	  648  (x288)	Rcaron
  0159	  649  (x289)	rcaron
  015A	  650  (x28A)	Sacute
  015B	  651  (x28B)	sacute
  015C	  652  (x28C)	Scircumflex
  015D	  653  (x28D)	scircumflex
  015E	  654  (x28E)	Scedilla
  015F	  655  (x28F)	scedilla
  0160	  658  (x292)	Scaron
  0161	  659  (x293)	scaron
  0162	  662  (x296)	uni0162
  0163	  663  (x297)	uni0163
  0164	  664  (x298)	Tcaron
  0165	  665  (x299)	tcaron
  0166	  515  (x203)	Tbar
  0167	  516  (x204)	tbar
  0168	  666  (x29A)	Utilde
  0169	  667  (x29B)	utilde
  016A	  668  (x29C)	Umacron
  016B	  669  (x29D)	umacron
  016C	  670  (x29E)	Ubreve
  016D	  671  (x29F)	ubreve
  016E	  672  (x2A0)	Uring
  016F	  673  (x2A1)	uring
  0170	  674  (x2A2)	Uhungarumlaut
  0171	  675  (x2A3)	uhungarumlaut
  0172	  676  (x2A4)	Uogonek
  0173	  677  (x2A5)	uogonek
  0174	  678  (x2A6)	Wcircumflex
  0175	  679  (x2A7)	wcircumflex
  0176	  680  (x2A8)	Ycircumflex
  0177	  681  (x2A9)	ycircumflex
  0178	  682  (x2AA)	Ydieresis
  0179	  683  (x2AB)	Zacute
  017A	  684  (x2AC)	zacute
  017B	  685  (x2AD)	Zdotaccent
  017C	  686  (x2AE)	zdotaccent
  017D	  687  (x2AF)	Zcaron
  017E	  688  (x2B0)	zcaron
  017F	  146  (x92)	longs
  0192	  147  (x93)	florin
  01A0	  148  (x94)	Ohorn
  01A1	  149  (x95)	ohorn
  01AF	  150  (x96)	Uhorn
  01B0	  151  (x97)	uhorn
  01F0	  869  (x365)	uni01F0
  01FA	  523  (x20B)	Aringacute
  01FB	  550  (x226)	aringacute
  01FC	  689  (x2B1)	AEacute
  01FD	  690  (x2B2)	aeacute
  01FE	  691  (x2B3)	Oslashacute
  01FF	  692  (x2B4)	oslashacute
  0218	  656  (x290)	uni0218
  0219	  657  (x291)	uni0219
  021A	  660  (x294)	uni021A
  021B	  661  (x295)	uni021B
  0237	  152  (x98)	uni0237
  0259	  153  (x99)	schwa
  02BC	  870  (x366)	uni02BC
  02C6	  154  (x9A)	circumflex
  02C7	  155  (x9B)	caron
  02C9	  110  (x6E)	macron
  02D8	  156  (x9C)	breve
  02D9	  157  (x9D)	dotaccent
  02DA	  158  (x9E)	ring
  02DB	  159  (x9F)	ogonek
  02DC	  160  (xA0)	tilde
  02DD	  161  (xA1)	hungarumlaut
  02F3	  162  (xA2)	uni02F3
  0300	  163  (xA3)	gravecomb
  0301	  164  (xA4)	acutecomb
  0303	  165  (xA5)	tildecomb
  0309	  166  (xA6)	hook
  030F	  167  (xA7)	uni030F
  0323	  168  (xA8)	dotbelow
  0384	  169  (xA9)	tonos
  0385	  170  (xAA)	dieresistonos
  0386	  780  (x30C)	Alphatonos
  0387	  171  (xAB)	anoteleia
  0388	  781  (x30D)	Epsilontonos
  0389	  782  (x30E)	Etatonos
  038A	  783  (x30F)	Iotatonos
  038C	  784  (x310)	Omicrontonos
  038E	  785  (x311)	Upsilontonos
  038F	  786  (x312)	Omegatonos
  0390	  787  (x313)	iotadieresistonos
  0391	  788  (x314)	Alpha
  0392	  789  (x315)	Beta
  0393	  172  (xAC)	Gamma
  0394	  173  (xAD)	Delta
  0395	  790  (x316)	Epsilon
  0396	  791  (x317)	Zeta
  0397	  792  (x318)	Eta
  0398	  174  (xAE)	Theta
  0399	  793  (x319)	Iota
  039A	  794  (x31A)	Kappa
  039B	  175  (xAF)	Lambda
  039C	  795  (x31B)	Mu
  039D	  796  (x31C)	Nu
  039E	  176  (xB0)	Xi
  039F	  797  (x31D)	Omicron
  03A0	  177  (xB1)	Pi
  03A1	  798  (x31E)	Rho
  03A3	  178  (xB2)	Sigma
  03A4	  799  (x31F)	Tau
  03A5	  800  (x320)	Upsilon
  03A6	  179  (xB3)	Phi
  03A7	  801  (x321)	Chi
  03A8	  180  (xB4)	Psi
  03A9	  181  (xB5)	Omega
  03AB	  803  (x323)	Upsilondieresis
  03AC	  804  (x324)	alphatonos
  03AD	  805  (x325)	epsilontonos
  03AE	  806  (x326)	etatonos
  03AF	  807  (x327)	iotatonos
  03B0	  808  (x328)	upsilondieresistonos
  03B1	  182  (xB6)	alpha
  03B2	  183  (xB7)	beta
  03B3	  184  (xB8)	gamma
  03B4	  185  (xB9)	delta
  03B5	  186  (xBA)	epsilon
  03B6	  187  (xBB)	zeta
  03B7	  188  (xBC)	eta
  03B8	  189  (xBD)	theta
  03B9	  190  (xBE)	iota
  03BA	  809  (x329)	kappa
  03BB	  191  (xBF)	lambda
  03BC	  811  (x32B)	uni03BC
  03BD	  812  (x32C)	nu
  03BE	  192  (xC0)	xi
  03BF	  810  (x32A)	omicron
  03C0	  193  (xC1)	pi
  03C1	  194  (xC2)	rho
  03C2	  195  (xC3)	sigma1
  03C3	  196  (xC4)	sigma
  03C4	  197  (xC5)	tau
  03C5	  198  (xC6)	upsilon
  03C6	  199  (xC7)	phi
  03C7	  813  (x32D)	chi
  03C8	  200  (xC8)	psi
  03C9	  201  (xC9)	omega
  03CA	  814  (x32E)	iotadieresis
  03CB	  815  (x32F)	upsilondieresis
  03CC	  816  (x330)	omicrontonos
  03CD	  817  (x331)	upsilontonos
  03CE	  818  (x332)	omegatonos
  03D1	  202  (xCA)	uni03D1
  03D2	  203  (xCB)	uni03D2
  03D6	  204  (xCC)	uni03D6
  03AA	  802  (x322)	Iotadieresis
  0400	  878  (x36E)	uni0400
  0401	  819  (x333)	uni0401
  0402	  205  (xCD)	uni0402
  0403	  820  (x334)	uni0403
  0404	  206  (xCE)	uni0404
  0405	  821  (x335)	uni0405
  0406	  822  (x336)	uni0406
  0407	  823  (x337)	uni0407
  0408	  824  (x338)	uni0408
  0409	  207  (xCF)	uni0409
  040A	  208  (xD0)	uni040A
  040B	  209  (xD1)	uni040B
  040C	  826  (x33A)	uni040C
  040D	  879  (x36F)	uni040D
  040E	  827  (x33B)	uni040E
  040F	  210  (xD2)	uni040F
  0410	  828  (x33C)	uni0410
  0411	  211  (xD3)	uni0411
  0412	  829  (x33D)	uni0412
  0413	  830  (x33E)	uni0413
  0414	  212  (xD4)	uni0414
  0415	  831  (x33F)	uni0415
  0416	  213  (xD5)	uni0416
  0417	  214  (xD6)	uni0417
  0418	  215  (xD7)	uni0418
  0419	  832  (x340)	uni0419
  041A	  825  (x339)	uni041A
  041B	  216  (xD8)	uni041B
  041C	  833  (x341)	uni041C
  041D	  834  (x342)	uni041D
  041E	  835  (x343)	uni041E
  041F	  836  (x344)	uni041F
  0420	  837  (x345)	uni0420
  0421	  838  (x346)	uni0421
  0422	  839  (x347)	uni0422
  0423	  217  (xD9)	uni0423
  0424	  218  (xDA)	uni0424
  0425	  840  (x348)	uni0425
  0426	  219  (xDB)	uni0426
  0427	  220  (xDC)	uni0427
  0428	  221  (xDD)	uni0428
  0429	  222  (xDE)	uni0429
  042A	  223  (xDF)	uni042A
  042B	  224  (xE0)	uni042B
  042C	  225  (xE1)	uni042C
  042D	  226  (xE2)	uni042D
  042E	  227  (xE3)	uni042E
  042F	  228  (xE4)	uni042F
  0430	  841  (x349)	uni0430
  0431	  229  (xE5)	uni0431
  0432	  230  (xE6)	uni0432
  0433	  231  (xE7)	uni0433
  0434	  232  (xE8)	uni0434
  0435	  842  (x34A)	uni0435
  0436	  233  (xE9)	uni0436
  0437	  234  (xEA)	uni0437
  0438	  235  (xEB)	uni0438
  0439	  843  (x34B)	uni0439
  043A	  236  (xEC)	uni043A
  043B	  237  (xED)	uni043B
  043C	  238  (xEE)	uni043C
  043D	  239  (xEF)	uni043D
  043E	  844  (x34C)	uni043E
  043F	  240  (xF0)	uni043F
  0440	  845  (x34D)	uni0440
  0441	  846  (x34E)	uni0441
  0442	  241  (xF1)	uni0442
  0443	  847  (x34F)	uni0443
  0444	  242  (xF2)	uni0444
  0445	  848  (x350)	uni0445
  0446	  243  (xF3)	uni0446
  0447	  244  (xF4)	uni0447
  0448	  245  (xF5)	uni0448
  0449	  246  (xF6)	uni0449
  044A	  247  (xF7)	uni044A
  044B	  248  (xF8)	uni044B
  044C	  249  (xF9)	uni044C
  044D	  250  (xFA)	uni044D
  044E	  251  (xFB)	uni044E
  044F	  252  (xFC)	uni044F
  0450	  880  (x370)	uni0450
  0451	  849  (x351)	uni0451
  0452	  253  (xFD)	uni0452
  0453	  850  (x352)	uni0453
  0454	  254  (xFE)	uni0454
  0455	  851  (x353)	uni0455
  0456	  852  (x354)	uni0456
  0457	  853  (x355)	uni0457
  0458	  854  (x356)	uni0458
  0459	  255  (xFF)	uni0459
  045A	  256  (x100)	uni045A
  045B	  257  (x101)	uni045B
  045C	  855  (x357)	uni045C
  045D	  881  (x371)	uni045D
  045E	  856  (x358)	uni045E
  045F	  258  (x102)	uni045F
  0460	  259  (x103)	uni0460
  0461	  260  (x104)	uni0461
  0462	 1050  (x41A)	uni0462
  0463	  261  (x105)	uni0463
  0464	  262  (x106)	uni0464
  0465	  263  (x107)	uni0465
  0466	  264  (x108)	uni0466
  0467	  265  (x109)	uni0467
  0468	  266  (x10A)	uni0468
  0469	  267  (x10B)	uni0469
  046A	  268  (x10C)	uni046A
  046B	  269  (x10D)	uni046B
  046C	  270  (x10E)	uni046C
  046D	  271  (x10F)	uni046D
  046E	  272  (x110)	uni046E
  046F	  273  (x111)	uni046F
  0470	  882  (x372)	uni0470
  0471	  883  (x373)	uni0471
  0472	  274  (x112)	uni0472
